,joblinks
0,https://de.linkedin.com/jobs/view/marketing-data-analyst-m-f-d-at-riverty-3662951922?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=s3LcfiJ5rSm9cpDL8aiP%2FQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,https://de.linkedin.com/jobs/view/data-analyst-digital-marketing-all-genders-at-native-instruments-3675386073?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=1dpQwlO3OC6Zdx9rda0Jlw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,https://de.linkedin.com/jobs/view/quantitative-analyst-marketing-d-m-w-at-liqid-3723210516?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=kVp%2Br29rqzKQvUZW%2B%2Fpm7w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,https://de.linkedin.com/jobs/view/quantitative-analyst-marketing-d-m-w-at-liqid-3661047037?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=NSOBgTaUfWn6OkyJrN9szA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,https://de.linkedin.com/jobs/view/data-analyst-controller-business-intelligence-m-w-d-at-bwi-gmbh-3711964211?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=HSsvYEFh82kh99n60l38HQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,https://de.linkedin.com/jobs/view/werkstudent-praktikant-business-intelligence-reporting-business-analysis-at-hello-de-3715631600?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=y5DipNlJEuPGwvi97r79OQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,https://de.linkedin.com/jobs/view/analyst-%E2%80%8Bdigital-marketing-%E2%80%8Bmanager-market-%E2%80%8Bintelligence-all-genders-at-sunday-natural-we-are-hiring%21-3715349226?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=Hg6w%2FlAXSwgSjbh2bSuMsw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,https://de.linkedin.com/jobs/view/digital-performance-marketing-analyst-m-w-d-at-coca-cola-europacific-partners-3604201843?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=JtZROGdyGLEHheobfBf5JA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,https://de.linkedin.com/jobs/view/senior-data-analyst-applied-scientist-brand-marketing-at-getyourguide-3721461990?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=amC5nsE6wpQHotdiOhrF9A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,https://de.linkedin.com/jobs/view/search-engine-analyst-at-appen-3720310164?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=n0vLjtRb6fo2XcBFW%2BXTew%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,https://de.linkedin.com/jobs/view/business-analyst-controller-m-f-x-at-coherent-corp-3702316546?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=V3KybfSpNmRIH4hu17cPcg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,https://de.linkedin.com/jobs/view/analyst-%E2%80%8Bdigital-marketing-%E2%80%8Bmanager-market-%E2%80%8Bintelligence-all-genders-at-marco-sigismund-3708970165?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=d3yITHXlEJd27f48iNcTvA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,https://de.linkedin.com/jobs/view/senior-crm-data-analyst-d2c-all-genders-at-universal-music-deutschland-3680800202?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=L755MqLt1Sza%2Bwi8reiS%2Bg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,https://de.linkedin.com/jobs/view/performance-analyst-seo-f-m-x-at-auto1-group-3712025292?refId=G0%2FoUUh5bpDA1MIiRUYFcA%3D%3D&trackingId=msbPH8c1WYs56OjZCUnhPg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
